state,date,sex,ethnicity,annual_birth,annual_death,age,population,population_x_1000
Johor,2000-01-01,both,overall,67183,12144,overall,2762.5,2762500.0
Johor,2001-01-01,both,overall,61432,12730,overall,2829.9,2829900.0
Johor,2002-01-01,both,overall,59699,13459,overall,2893.6,2893600.0
Johor,2003-01-01,both,overall,58230,13671,overall,2954.0,2954000.0
Johor,2004-01-01,both,overall,57339,13842,overall,3014.6,3014600.0
Johor,2005-01-01,both,overall,56524,14152,overall,3074.4,3074400.0
Johor,2006-01-01,both,overall,56737,14546,overall,3134.4,3134400.0
Johor,2007-01-01,both,overall,57780,15165,overall,3193.5,3193500.0
Johor,2008-01-01,both,overall,57838,15926,overall,3252.3,3252300.0
Johor,2009-01-01,both,overall,57849,15971,overall,3309.4,3309400.0
Johor,2010-01-01,both,overall,56064,16060,overall,3362.9,3362900.0
Johor,2011-01-01,both,overall,58167,16479,overall,3410.5,3410500.0
Johor,2012-01-01,both,overall,60444,17201,overall,3450.4,3450400.0
Johor,2013-01-01,both,overall,57402,17696,overall,3474.4,3474400.0
Johor,2014-01-01,both,overall,60443,17904,overall,3559.8,3559800.0
Johor,2015-01-01,both,overall,60543,18853,overall,3610.3,3610300.0
Johor,2016-01-01,both,overall,59561,19924,overall,3651.8,3651800.0
Johor,2017-01-01,both,overall,61085,20662,overall,3697.0,3697000.0
Johor,2018-01-01,both,overall,61084,21117,overall,3749.4,3749400.0
Johor,2019-01-01,both,overall,60261,21799,overall,3761.2,3761200.0
Johor,2020-01-01,both,overall,56908,20646,overall,4009.7,4009700.0
Johor,2021-01-01,both,overall,49990,26951,overall,4020.0,4020000.0
Johor,2022-01-01,both,overall,48254,25305,overall,4028.3,4028300.0
Kedah,2000-01-01,both,overall,41014,8982,overall,1671.9,1671900.0
Kedah,2001-01-01,both,overall,38073,9197,overall,1703.9,1703900.0
Kedah,2002-01-01,both,overall,36604,9925,overall,1734.8,1734800.0
Kedah,2003-01-01,both,overall,35407,10311,overall,1763.7,1763700.0
Kedah,2004-01-01,both,overall,35059,10095,overall,1792.4,1792400.0
Kedah,2005-01-01,both,overall,34254,10280,overall,1820.3,1820300.0
Kedah,2006-01-01,both,overall,33864,10698,overall,1847.5,1847500.0
Kedah,2007-01-01,both,overall,33963,10847,overall,1874.2,1874200.0
Kedah,2008-01-01,both,overall,35415,11071,overall,1900.2,1900200.0
Kedah,2009-01-01,both,overall,36019,11618,overall,1925.3,1925300.0
Kedah,2010-01-01,both,overall,35128,11674,overall,1949.3,1949300.0
Kedah,2011-01-01,both,overall,35937,11869,overall,1971.8,1971800.0
Kedah,2012-01-01,both,overall,36390,12268,overall,2001.1,2001100.0
Kedah,2013-01-01,both,overall,35032,12516,overall,2039.8,2039800.0
Kedah,2014-01-01,both,overall,36505,13017,overall,2062.7,2062699.9999999998
Kedah,2015-01-01,both,overall,36784,13674,overall,2096.5,2096500.0
Kedah,2016-01-01,both,overall,35967,13771,overall,2119.7,2119700.0
Kedah,2017-01-01,both,overall,36693,14332,overall,2143.9,2143900.0
Kedah,2018-01-01,both,overall,35643,14552,overall,2163.0,2163000.0
Kedah,2019-01-01,both,overall,34511,14302,overall,2173.7,2173700.0
Kedah,2020-01-01,both,overall,33828,13671,overall,2131.4,2131400.0
Kedah,2021-01-01,both,overall,33040,18457,overall,2151.7,2151700.0
Kedah,2022-01-01,both,overall,30796,17628,overall,2163.1,2163100.0
Kelantan,2000-01-01,both,overall,40404,7620,overall,1361.4,1361400.0
Kelantan,2001-01-01,both,overall,38186,7797,overall,1390.0,1390000.0
Kelantan,2002-01-01,both,overall,37297,8330,overall,1416.7,1416700.0
Kelantan,2003-01-01,both,overall,35686,8614,overall,1440.5,1440500.0
Kelantan,2004-01-01,both,overall,35113,8547,overall,1463.8,1463800.0
Kelantan,2005-01-01,both,overall,34088,8834,overall,1486.3,1486300.0
Kelantan,2006-01-01,both,overall,33659,8940,overall,1507.6,1507600.0
Kelantan,2007-01-01,both,overall,33800,9186,overall,1529.1,1529100.0
Kelantan,2008-01-01,both,overall,34842,9694,overall,1549.8,1549800.0
Kelantan,2009-01-01,both,overall,35715,10114,overall,1570.0,1570000.0
Kelantan,2010-01-01,both,overall,36009,9798,overall,1589.9,1589900.0
Kelantan,2011-01-01,both,overall,37679,10024,overall,1618.8,1618800.0
Kelantan,2012-01-01,both,overall,37025,9890,overall,1651.0,1651000.0
Kelantan,2013-01-01,both,overall,36413,10042,overall,1683.5,1683500.0
Kelantan,2014-01-01,both,overall,39279,10588,overall,1723.4,1723400.0
Kelantan,2015-01-01,both,overall,39108,10789,overall,1760.6,1760600.0
Kelantan,2016-01-01,both,overall,38455,10809,overall,1796.7,1796700.0
Kelantan,2017-01-01,both,overall,39122,11203,overall,1829.0,1829000.0
Kelantan,2018-01-01,both,overall,38360,11316,overall,1860.5,1860500.0
Kelantan,2019-01-01,both,overall,36858,11410,overall,1883.8,1883800.0
Kelantan,2020-01-01,both,overall,36275,10928,overall,1792.5,1792500.0
Kelantan,2021-01-01,both,overall,34764,13926,overall,1812.3,1812300.0
Kelantan,2022-01-01,both,overall,33808,13445,overall,1830.6,1830600.0
Melaka,2000-01-01,both,overall,15304,3725,overall,646.6,646600.0
Melaka,2001-01-01,both,overall,14317,3799,overall,665.8,665800.0
Melaka,2002-01-01,both,overall,13810,3966,overall,684.1,684100.0
Melaka,2003-01-01,both,overall,13898,3964,overall,701.8,701800.0
Melaka,2004-01-01,both,overall,13548,4070,overall,719.8,719800.0
Melaka,2005-01-01,both,overall,13341,4140,overall,737.3,737300.0
Melaka,2006-01-01,both,overall,12946,4146,overall,755.0,755000.0
Melaka,2007-01-01,both,overall,13444,4145,overall,772.8,772800.0
Melaka,2008-01-01,both,overall,13619,4381,overall,790.5,790500.0
Melaka,2009-01-01,both,overall,13456,4472,overall,807.8,807800.0
Melaka,2010-01-01,both,overall,13010,4481,overall,823.6,823600.0
Melaka,2011-01-01,both,overall,13976,4606,overall,833.2,833200.0
Melaka,2012-01-01,both,overall,14278,4575,overall,843.2,843200.0
Melaka,2013-01-01,both,overall,13692,4747,overall,856.7,856700.0
Melaka,2014-01-01,both,overall,14568,4728,overall,871.7,871700.0
Melaka,2015-01-01,both,overall,14554,4959,overall,889.0,889000.0
Melaka,2016-01-01,both,overall,14402,5186,overall,901.1,901100.0
Melaka,2017-01-01,both,overall,14389,5523,overall,913.1,913100.0
Melaka,2018-01-01,both,overall,14388,5407,overall,922.4,922400.0
Melaka,2019-01-01,both,overall,14136,5547,overall,928.4,928400.0
Melaka,2020-01-01,both,overall,13855,5444,overall,998.4,998400.0
Melaka,2021-01-01,both,overall,13192,7083,overall,1004.5,1004500.0
Melaka,2022-01-01,both,overall,13105,6630,overall,1008.6,1008600.0
Negeri Sembilan,2000-01-01,both,overall,19243,4540,overall,866.1,866100.0
Negeri Sembilan,2001-01-01,both,overall,17670,4724,overall,883.7,883700.0
Negeri Sembilan,2002-01-01,both,overall,17647,5051,overall,900.3,900300.0
Negeri Sembilan,2003-01-01,both,overall,17272,5038,overall,916.8,916800.0
Negeri Sembilan,2004-01-01,both,overall,17085,5067,overall,933.7,933700.0
Negeri Sembilan,2005-01-01,both,overall,16838,5163,overall,950.3,950300.0
Negeri Sembilan,2006-01-01,both,overall,16622,5204,overall,967.0,967000.0
Negeri Sembilan,2007-01-01,both,overall,17195,5181,overall,983.5,983500.0
Negeri Sembilan,2008-01-01,both,overall,17351,5740,overall,999.6,999600.0
Negeri Sembilan,2009-01-01,both,overall,17360,5832,overall,1014.9,1014900.0
Negeri Sembilan,2010-01-01,both,overall,16939,5814,overall,1029.5,1029500.0
Negeri Sembilan,2011-01-01,both,overall,17670,5885,overall,1047.4,1047400.0000000001
Negeri Sembilan,2012-01-01,both,overall,17903,5895,overall,1057.7,1057700.0
Negeri Sembilan,2013-01-01,both,overall,17509,6213,overall,1072.2,1072200.0
Negeri Sembilan,2014-01-01,both,overall,18676,6410,overall,1079.6,1079600.0
Negeri Sembilan,2015-01-01,both,overall,18423,6611,overall,1088.8,1088800.0
Negeri Sembilan,2016-01-01,both,overall,18036,6810,overall,1099.3,1099300.0
Negeri Sembilan,2017-01-01,both,overall,18078,7111,overall,1114.0,1114000.0
Negeri Sembilan,2018-01-01,both,overall,18177,7298,overall,1122.9,1122900.0
Negeri Sembilan,2019-01-01,both,overall,17464,7168,overall,1126.2,1126200.0
Negeri Sembilan,2020-01-01,both,overall,17120,7011,overall,1200.0,1200000.0
Negeri Sembilan,2021-01-01,both,overall,16777,9165,overall,1204.2,1204200.0
Negeri Sembilan,2022-01-01,both,overall,15991,8636,overall,1207.9,1207900.0
Pahang,2000-01-01,both,overall,29555,5507,overall,1295.8,1295800.0
Pahang,2001-01-01,both,overall,27613,5741,overall,1317.3,1317300.0
Pahang,2002-01-01,both,overall,26810,6297,overall,1338.7,1338700.0
Pahang,2003-01-01,both,overall,26144,6291,overall,1360.0,1360000.0
Pahang,2004-01-01,both,overall,25899,6275,overall,1380.2,1380200.0
Pahang,2005-01-01,both,overall,25692,6499,overall,1400.8,1400800.0
Pahang,2006-01-01,both,overall,24809,6670,overall,1421.2,1421200.0
Pahang,2007-01-01,both,overall,24958,6742,overall,1441.4,1441400.0
Pahang,2008-01-01,both,overall,25658,7100,overall,1461.6,1461600.0
Pahang,2009-01-01,both,overall,26057,7428,overall,1481.7,1481700.0
Pahang,2010-01-01,both,overall,25946,7722,overall,1501.9,1501900.0
Pahang,2011-01-01,both,overall,27079,7812,overall,1526.8,1526800.0
Pahang,2012-01-01,both,overall,27411,7791,overall,1547.1,1547100.0
Pahang,2013-01-01,both,overall,26968,8146,overall,1568.7,1568700.0
Pahang,2014-01-01,both,overall,28743,8301,overall,1591.7,1591700.0
Pahang,2015-01-01,both,overall,28059,8471,overall,1607.9,1607900.0
Pahang,2016-01-01,both,overall,27626,8878,overall,1626.7,1626700.0
Pahang,2017-01-01,both,overall,27555,9261,overall,1647.0,1647000.0
Pahang,2018-01-01,both,overall,27006,9246,overall,1664.7,1664700.0
Pahang,2019-01-01,both,overall,25887,9179,overall,1671.4,1671400.0
Pahang,2020-01-01,both,overall,25344,8686,overall,1591.3,1591300.0
Pahang,2021-01-01,both,overall,24507,10366,overall,1601.5,1601500.0
Pahang,2022-01-01,both,overall,23568,11022,overall,1614.3,1614300.0
Perak,2000-01-01,both,overall,48589,13194,overall,2091.7,2091699.9999999998
Perak,2001-01-01,both,overall,43533,13577,overall,2129.0,2129000.0
Perak,2002-01-01,both,overall,42289,14345,overall,2161.8,2161800.0
Perak,2003-01-01,both,overall,39822,14561,overall,2192.1,2192100.0
Perak,2004-01-01,both,overall,39012,14401,overall,2222.1,2222100.0
Perak,2005-01-01,both,overall,37369,14348,overall,2251.1,2251100.0
Perak,2006-01-01,both,overall,36835,14429,overall,2279.3,2279300.0
Perak,2007-01-01,both,overall,36628,14913,overall,2306.4,2306400.0
Perak,2008-01-01,both,overall,37174,15395,overall,2331.6,2331600.0
Perak,2009-01-01,both,overall,37203,15741,overall,2355.7,2355700.0
Perak,2010-01-01,both,overall,36026,15440,overall,2379.0,2379000.0
Perak,2011-01-01,both,overall,37522,16012,overall,2402.7,2402700.0
Perak,2012-01-01,both,overall,37712,16395,overall,2427.0,2427000.0
Perak,2013-01-01,both,overall,35427,16386,overall,2447.2,2447200.0
Perak,2014-01-01,both,overall,36586,16925,overall,2458.8,2458800.0
Perak,2015-01-01,both,overall,36284,17159,overall,2466.9,2466900.0
Perak,2016-01-01,both,overall,35685,17820,overall,2482.1,2482100.0
Perak,2017-01-01,both,overall,34838,18047,overall,2493.2,2493200.0
Perak,2018-01-01,both,overall,33869,18600,overall,2503.5,2503500.0
Perak,2019-01-01,both,overall,33005,18740,overall,2508.8,2508800.0
Perak,2020-01-01,both,overall,31582,17946,overall,2496.0,2496000.0
Perak,2021-01-01,both,overall,30816,21303,overall,2515.8,2515800.0
Perak,2022-01-01,both,overall,29543,22341,overall,2514.4,2514400.0
Perlis,2000-01-01,both,overall,4651,1307,overall,207.6,207600.0
Perlis,2001-01-01,both,overall,4340,1335,overall,210.4,210400.0
Perlis,2002-01-01,both,overall,4225,1378,overall,213.2,213200.0
Perlis,2003-01-01,both,overall,4058,1416,overall,216.0,216000.0
Perlis,2004-01-01,both,overall,3964,1426,overall,218.8,218800.0
Perlis,2005-01-01,both,overall,3932,1452,overall,221.6,221600.0
Perlis,2006-01-01,both,overall,3891,1462,overall,224.4,224400.0
Perlis,2007-01-01,both,overall,3946,1491,overall,227.2,227200.0
Perlis,2008-01-01,both,overall,4175,1618,overall,230.1,230100.0
Perlis,2009-01-01,both,overall,4237,1580,overall,233.0,233000.0
Perlis,2010-01-01,both,overall,4114,1683,overall,235.8,235800.0
Perlis,2011-01-01,both,overall,4161,1637,overall,237.3,237300.0
Perlis,2012-01-01,both,overall,4143,1655,overall,239.4,239400.0
Perlis,2013-01-01,both,overall,4050,1741,overall,242.1,242100.0
Perlis,2014-01-01,both,overall,4509,1671,overall,245.1,245100.0
Perlis,2015-01-01,both,overall,4315,1767,overall,248.5,248500.0
Perlis,2016-01-01,both,overall,4392,1884,overall,251.0,251000.0
Perlis,2017-01-01,both,overall,4447,2004,overall,252.0,252000.0
Perlis,2018-01-01,both,overall,4371,2042,overall,253.5,253500.0
Perlis,2019-01-01,both,overall,4060,1996,overall,254.0,254000.0
Perlis,2020-01-01,both,overall,4101,1950,overall,284.9,284900.0
Perlis,2021-01-01,both,overall,4076,2234,overall,287.6,287600.0
Perlis,2022-01-01,both,overall,3746,2422,overall,289.8,289800.0
Pulau Pinang,2000-01-01,both,overall,27337,7037,overall,1332.7,1332700.0
Pulau Pinang,2001-01-01,both,overall,24712,7162,overall,1361.0,1361000.0
Pulau Pinang,2002-01-01,both,overall,24775,7703,overall,1387.3,1387300.0
Pulau Pinang,2003-01-01,both,overall,23467,7781,overall,1412.2,1412200.0
Pulau Pinang,2004-01-01,both,overall,22943,7813,overall,1436.6,1436600.0
Pulau Pinang,2005-01-01,both,overall,22559,7869,overall,1460.4,1460400.0
Pulau Pinang,2006-01-01,both,overall,22003,7918,overall,1484.1,1484100.0
Pulau Pinang,2007-01-01,both,overall,22429,8316,overall,1507.8,1507800.0
Pulau Pinang,2008-01-01,both,overall,22952,8471,overall,1531.3,1531300.0
Pulau Pinang,2009-01-01,both,overall,22777,8699,overall,1554.3,1554300.0
Pulau Pinang,2010-01-01,both,overall,21172,9063,overall,1575.9,1575900.0
Pulau Pinang,2011-01-01,both,overall,22353,9107,overall,1601.0,1601000.0
Pulau Pinang,2012-01-01,both,overall,23794,9133,overall,1623.2,1623200.0
Pulau Pinang,2013-01-01,both,overall,21499,9538,overall,1662.6,1662600.0
Pulau Pinang,2014-01-01,both,overall,22877,9678,overall,1678.1,1678100.0
Pulau Pinang,2015-01-01,both,overall,22242,10226,overall,1698.1,1698100.0
Pulau Pinang,2016-01-01,both,overall,21781,10729,overall,1717.7,1717700.0
Pulau Pinang,2017-01-01,both,overall,21464,10727,overall,1744.1,1744100.0
Pulau Pinang,2018-01-01,both,overall,20705,11209,overall,1762.8,1762800.0
Pulau Pinang,2019-01-01,both,overall,20200,10896,overall,1768.8,1768800.0
Pulau Pinang,2020-01-01,both,overall,19645,10701,overall,1740.4,1740400.0
Pulau Pinang,2021-01-01,both,overall,18571,13978,overall,1740.0,1740000.0
Pulau Pinang,2022-01-01,both,overall,17731,12920,overall,1740.9,1740900.0
Sabah,2000-01-01,both,overall,49308,5203,overall,2603.5,2603500.0
Sabah,2001-01-01,both,overall,48990,5437,overall,2663.3,2663300.0
Sabah,2002-01-01,both,overall,46119,5864,overall,2719.1,2719100.0
Sabah,2003-01-01,both,overall,44388,6061,overall,2774.0,2774000.0
Sabah,2004-01-01,both,overall,46170,6328,overall,2833.4,2833400.0
Sabah,2005-01-01,both,overall,47160,6563,overall,2897.0,2897000.0
Sabah,2006-01-01,both,overall,46142,6702,overall,2962.9,2962900.0
Sabah,2007-01-01,both,overall,47017,6979,overall,3032.3,3032300.0
Sabah,2008-01-01,both,overall,50272,7394,overall,3105.1,3105100.0
Sabah,2009-01-01,both,overall,52782,7565,overall,3181.1,3181100.0
Sabah,2010-01-01,both,overall,54134,7622,overall,3260.0,3260000.0
Sabah,2011-01-01,both,overall,54990,8095,overall,3345.5,3345500.0
Sabah,2012-01-01,both,overall,58185,8066,overall,3432.7,3432700.0
Sabah,2013-01-01,both,overall,56823,8253,overall,3611.5,3611500.0
Sabah,2014-01-01,both,overall,57397,12188,overall,3669.9,3669900.0
Sabah,2015-01-01,both,overall,54699,12511,overall,3720.5,3720500.0
Sabah,2016-01-01,both,overall,52071,12834,overall,3802.8,3802800.0
Sabah,2017-01-01,both,overall,52528,13719,overall,3855.9,3855900.0
Sabah,2018-01-01,both,overall,53025,13940,overall,3898.4,3898400.0
Sabah,2019-01-01,both,overall,52973,14713,overall,3904.4,3904400.0
Sabah,2020-01-01,both,overall,49587,14868,overall,3418.8,3418800.0
Sabah,2021-01-01,both,overall,41608,18873,overall,3412.6,3412600.0
Sabah,2022-01-01,both,overall,43617,17395,overall,3414.9,3414900.0
Sarawak,2000-01-01,both,overall,47920,8513,overall,2071.5,2071500.0
Sarawak,2001-01-01,both,overall,46098,8893,overall,2115.6,2115600.0
Sarawak,2002-01-01,both,overall,44929,8818,overall,2158.3,2158300.0
Sarawak,2003-01-01,both,overall,44068,9287,overall,2199.0,2199000.0
Sarawak,2004-01-01,both,overall,43545,9506,overall,2240.4,2240400.0
Sarawak,2005-01-01,both,overall,43241,9553,overall,2282.4,2282400.0
Sarawak,2006-01-01,both,overall,42892,9962,overall,2324.9,2324900.0
Sarawak,2007-01-01,both,overall,42549,10020,overall,2366.1,2366100.0
Sarawak,2008-01-01,both,overall,43426,10478,overall,2408.4,2408400.0
Sarawak,2009-01-01,both,overall,43753,11240,overall,2450.8,2450800.0
Sarawak,2010-01-01,both,overall,41474,10396,overall,2487.1,2487100.0
Sarawak,2011-01-01,both,overall,43383,11118,overall,2527.9,2527900.0
Sarawak,2012-01-01,both,overall,43178,11246,overall,2569.7,2569700.0
Sarawak,2013-01-01,both,overall,40413,11231,overall,2642.5,2642500.0
Sarawak,2014-01-01,both,overall,41049,11686,overall,2664.0,2664000.0
Sarawak,2015-01-01,both,overall,39754,12200,overall,2701.5,2701500.0
Sarawak,2016-01-01,both,overall,37985,12608,overall,2738.7,2738700.0
Sarawak,2017-01-01,both,overall,37654,13117,overall,2766.3,2766300.0
Sarawak,2018-01-01,both,overall,36624,13828,overall,2791.7,2791700.0
Sarawak,2019-01-01,both,overall,36672,14025,overall,2806.0,2806000.0
Sarawak,2020-01-01,both,overall,35449,14114,overall,2453.7,2453700.0
Sarawak,2021-01-01,both,overall,31274,17596,overall,2465.6,2465600.0
Sarawak,2022-01-01,both,overall,30937,16627,overall,2473.5,2473500.0
Selangor,2000-01-01,both,overall,91635,12706,overall,4188.9,4188899.9999999995
Selangor,2001-01-01,both,overall,87758,13368,overall,4317.5,4317500.0
Selangor,2002-01-01,both,overall,89735,13922,overall,4446.3,4446300.0
Selangor,2003-01-01,both,overall,89933,14295,overall,4577.3,4577300.0
Selangor,2004-01-01,both,overall,93176,14616,overall,4712.8,4712800.0
Selangor,2005-01-01,both,overall,92456,15371,overall,4849.6,4849600.0
Selangor,2006-01-01,both,overall,94737,15695,overall,4986.2,4986200.0
Selangor,2007-01-01,both,overall,97055,15903,overall,5127.1,5127100.0
Selangor,2008-01-01,both,overall,100284,17649,overall,5268.5,5268500.0
Selangor,2009-01-01,both,overall,103023,18373,overall,5417.8,5417800.0
Selangor,2010-01-01,both,overall,98429,18558,overall,5502.1,5502100.0
Selangor,2011-01-01,both,overall,103686,19352,overall,5600.3,5600300.0
Selangor,2012-01-01,both,overall,107946,21020,overall,5702.4,5702400.0
Selangor,2013-01-01,both,overall,103173,21677,overall,5904.7,5904700.0
Selangor,2014-01-01,both,overall,108932,22647,overall,6051.3,6051300.0
Selangor,2015-01-01,both,overall,108131,23804,overall,6178.0,6178000.0
Selangor,2016-01-01,both,overall,104661,25588,overall,6291.5,6291500.0
Selangor,2017-01-01,both,overall,103987,26733,overall,6380.7,6380700.0
Selangor,2018-01-01,both,overall,102125,27387,overall,6475.0,6475000.0
Selangor,2019-01-01,both,overall,98836,27786,overall,6506.1,6506100.0
Selangor,2020-01-01,both,overall,93577,25405,overall,6994.4,6994400.0
Selangor,2021-01-01,both,overall,90118,42051,overall,7014.7,7014700.0
Selangor,2022-01-01,both,overall,83658,32861,overall,7050.3,7050300.0
Terengganu,2000-01-01,both,overall,24833,4570,overall,902.6,902600.0
Terengganu,2001-01-01,both,overall,24060,4866,overall,920.0,920000.0
Terengganu,2002-01-01,both,overall,23205,5051,overall,936.6,936600.0
Terengganu,2003-01-01,both,overall,22269,5346,overall,951.4,951400.0
Terengganu,2004-01-01,both,overall,22542,5244,overall,966.6,966600.0
Terengganu,2005-01-01,both,overall,21966,5368,overall,981.4,981400.0
Terengganu,2006-01-01,both,overall,21907,5407,overall,995.9,995900.0
Terengganu,2007-01-01,both,overall,22366,5563,overall,1010.4,1010400.0
Terengganu,2008-01-01,both,overall,23339,5774,overall,1025.2,1025200.0
Terengganu,2009-01-01,both,overall,23887,5978,overall,1040.7,1040700.0
Terengganu,2010-01-01,both,overall,24262,5864,overall,1055.4,1055400.0
Terengganu,2011-01-01,both,overall,24776,6209,overall,1079.0,1079000.0
Terengganu,2012-01-01,both,overall,25698,6177,overall,1094.1,1094100.0
Terengganu,2013-01-01,both,overall,25465,6424,overall,1113.4,1113400.0
Terengganu,2014-01-01,both,overall,27013,6460,overall,1140.4,1140400.0
Terengganu,2015-01-01,both,overall,27629,6715,overall,1161.0,1161000.0
Terengganu,2016-01-01,both,overall,27521,6843,overall,1183.4,1183400.0
Terengganu,2017-01-01,both,overall,27911,7048,overall,1208.0,1208000.0
Terengganu,2018-01-01,both,overall,28242,7099,overall,1228.3,1228300.0
Terengganu,2019-01-01,both,overall,27085,7341,overall,1244.5,1244500.0
Terengganu,2020-01-01,both,overall,27177,6736,overall,1149.4,1149400.0
Terengganu,2021-01-01,both,overall,26337,8469,overall,1170.7,1170700.0
Terengganu,2022-01-01,both,overall,25304,8686,overall,1186.6,1186600.0
